,company,location,main_sector,subsector,primary,description
942,NEOS Surgery,"Cerdanyola del Vallès, Barcelona",Medical Technology,Non-active implantable devices,Diseases of the nervous system,"NEOS Surgery is an innovative technological company dedicated to the development, manufacture and commercialization of medical devices in the field of neuro, spinal and other surgical fields. The company's product Cranial COVER is a postoperative cranial burr hole cover system made of PEEK-OPTIMA™, whose function is to completely cover the burr hole, thus avoiding postoperative skin concavities. Spin-off of Centre Tecnològic ASCAMM and Tecnalia"
943,Neosalus,"Lleida, Lleida",Medical Technology,Reusable instruments; Technical aids for disabled persons,Cardiovascular,Neosalus intends to give visibility to the largest number of initiatives in cardioprotection and use of defibrillators. The company also designs mobile health apps and traceability software.
944,Neumo-Egmo,"Tarragona, Tarragona",Supplier &amp; Engineering,Distributors; Precision mechanics,,"NEUMO is a supplier of fittings, assemblies, containers and equipment made of stainless steel and special materials which are used for fluid handling in the pharmaceutical, biotechnology, chemical, semiconductor and solar industries."
945,Neurekalab,"Granollers, Barcelona",Digital Health,Population Health Management,Mental and behavioural disorders,"NeurekaLAB is a social enterprise, established as a spin-off of the University of Barcelona and the University of Vic-Universitat Central de Catalunya. It was born with the commitment to investigate the learning process as well as the associated difficulties in order to anticipate the needs of children of school age."
946,Neuroelectrics,"Barcelona, Barcelona",Medical Technology,Electro mechanical medical devices,Diseases of the nervous system,"Neuroelectrics Barcelona SL is a digital brain health company that innovates at the intersection of neuroscience, physics, machine learning and hardware. The compant is a spin-off of Starlab and it has developed wireless EEG and tDCS/tACS/tRNS stimulation devices with up to 32 channels, amongst other products encompassing software and research services, with the purpose of monitoring and enhancing brain health."
947,NeuroHeal Biomedicals,"Cerdanyola del Vallés, Barcelona",Biotechnology - Therapeutics and Diagnostics,Drug delivery,"Diseases of the nervous system; Injury, poisoning, other external causes; Musculoskeletal system, connective tissue",NeuroHeal Biomedicals is focused on the development of a first-in-class agent for peripheral neuropathy
948,Newborn Solutions (NBS),"Barcelona, Barcelona",Medical Technology,Diagnostic Devices,"Diseases of the blood, immune disorders","New Born Solutions is a medical device company developing innovative equipment for quick detection of superficial body fluid infections in a non-invasively way by means of high frequency ultrasound technology. The Neosonics is a sophisticated precision-engineering system using high-frequency ultrasound to non-invasively count white blood cell in the cerebrospinal fluid below the infant fontanel, the region of the head where the bones are not yet closed."
949,NewCo Professional,"Barcelona, Barcelona",Professional Services and Consulting,Communication &amp; PR/IR,,"Biotech-Spain.com - NewCo Professional S.L is  the biotechnology portal in Spain and is a publishing company specialized in directories and thematic portals of Internet and in communication on and off-line. The company provides online service portal which includes news, articles, biotech economic and financial news, investment rounds and prospects of companies and institutions from the Spanish Biotech sector."
950,Nexeo Plastics Spain,"Cornellà de Llobregat, Barcelona",Supplier &amp; Engineering,Chemicals; Distributors; Instrumentation; Medical devices; Packaging &amp; labeling,,"Nexeo Plastics offers thermoplastic materials that help meet the strict regulations of the healthcare industry. With increases in costs for medical devices and pharmaceutical products, our team of experts helps design firms, molders, and OEMs ensure that they are selecting appropriate, cost-effective and competitive raw materials for their healthcare applications."
951,Nextmol,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Bioinformatics,,Nextmol is a Barcelona-based startup (spin-off of Barcelona Supercomputinc Center) specialized in computational chemistry. It develops a software platform to accelerate the design of better and more sustainable chemicals through molecular modeling and artificial intelligence.
952,NGNY Devices,"Barcelona, Barcelona",Supplier &amp; Engineering,Laboratory equipment; Production engineering,,"NGNY Devices is dedicated to the design, manufacture and commercialization of automatic equipment for the manipulation of materials, elements or other devices. NGNY Devices provides technical assistance to its customers and supplies accessories and consumables for their equipment."
953,NIMBLE Diagnostics,"Badalona, Barcelona",Medical Technology,Imaging; Diagnostic Devices,,Cardiovascular
954,Nina Capital,"Barcelona, Barcelona",Investors,Venture capital fund,,"nina capital is a specialized venture capital firm investing exclusively at the intersection of healthcare and technology. With an international outlook from our home in Europe, we seed and support need-driven founders committed to improving healthcare with the help of technology. More on us at www.nina.capital."
955,Ninevah Therapeutics,"London, ",Biotechnology - Therapeutics and Diagnostics,Gene therapy,,Genitourinary system
956,Nirco,"BARBERA DEL VALLES, Barcelona",Supplier &amp; Engineering,Other; Instrumentation; Laboratory equipment; Laboratory consumables and reagents,,"Nirco focuses its activity on the manufacture and marketing of products and services aimed at the field of Life Sciences, meeting the needs of various market segments."
957,Nixi for Children,"Barcelona, Barcelona",Digital Health,Patient Engagement,,Nixi for Children is a company that develops virtual reality training to help pediatric patients better understand the process they will go through in the hospital and thus avoid perioperative anxiety.
958,Nobel Biocare Iberica,"Barcelona, Barcelona",Supplier &amp; Engineering,Medical devices,,"Nobel Biocare Iberica markets dental equipment and solutions in Spain. The company offers dental implants, all-ceramic crowns, bridges and laminates, individualized prosthetics, guided surgery solutions."
959,Noray Biosciences Group,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Bioinformatics,,"NorayBio is a bioinformatics company, which is focused on the design, development and implementation of tailored software for the biosciences sector."
960,"Noucor (HQ, Barcelona)","Palau-solità i Plegamans, Barcelona",Supplier &amp; Engineering,APIs and excipients,,Urquima is Uriach Group's chemical pharmaceutical production plant which includes the manufacturing of bulk organic and inorganic medicinal chemicals.
961,Nova Traductors i Intèrprets,"Barcelona, Barcelona",Professional Services and Consulting,Translation services,,"Nova Language Services is a well-established company specialized in medical, pharmaceutical and veterinary translations."
962,NovaFarm,"Barcelona, Barcelona",Supplier &amp; Engineering,Packaging &amp; labeling,,"Novafarm is a pharmaceutical production plant for outsourcing. The company has currently the authorizations of titleholder, importer, manufacturer, analysis laboratory, customer officer and veterinary products packaging."
963,Novakit,"CAMPINS, Barcelona",Supplier &amp; Engineering,Laboratory equipment,,"Novakit, SL is a company that supplies the scientific community products and services that give a complete solution for automation in the biotechnology and pharmaceutical sector."
964,NovaMeat,"Barcelona, Barcelona",Biotechnology - other,Food,,NOVAMEAT develops cutting-edge technological solutions to feed the planet’s growing population with the next generation of plant-based foods in order to overcome the challenges of today’s unsustainable and inefficient animal agriculture industry.
965,Novartis España,"Barcelona, Barcelona",Pharma,Biosimilars; Small molecules; Other,"Cardiovascular; Diseases of the eye; Diseases of the nervous system; Endocrine,nutritional,metabolic diseases; Infectious and parasitic diseases; Neoplasms / cancer / oncology; Respiratory","Novartis is a pharmaceutical company focused on the research and development of products to protect and improve health and well-being. The company has core businesses in pharmaceuticals, vaccines, consumer health, generics, eye care and animal health. Novartis Spain is organized into the following operating divisions: pharmaceutical, alcon, sandoz, vaccines &amp; diagnostics and consumer health."
966,NT Sensors,"CATLLAR, EL, Tarragona",Supplier &amp; Engineering,Instrumentation,,"NT Sensors designs, develops and manufactures electrodes based on the patented technology of ion-selective electrodes based carbon nanotubes. Also designs, develops and manufactures all the equipment at laboratory or out at field. Spin-off of Universitat Rovira i Virgili (URV)."
967,NTE-SENER,"CERDANYOLA DEL VALLES, Barcelona",Supplier &amp; Engineering,Other; Laboratory engineering; Production engineering,,"NTE-SENER provides engineering services for the development of custom, high-performance systems, instruments and equipment for advanced research and applications."
968,Nuage Therapeutics,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Proteins,Neoplasms/cancer/oncology,Nuage Therapeutics is a spin-off from the Institute for Research in Biomedicine (IRB Barcelona) and ICREA. Nuage Therapeutics mission is to leverage biomolecular condensation and chemical biology to develop selective inhibitors of intrinsically disordered proteins involved in challenging indications representing unmet medical needs.
969,NuboCare,"Barcelona, Barcelona",Digital Health,Remote Monitoring; Telehealth,,NuboCare is a virtual consultation platform with experienced professionals in the physiotherapy sector. Customer relationship via ICT from anywhere in the world.
970,Nuna,"Barcelona, Barcelona",Digital Health,Health Services Search; Mobile Fitness / Health Apps,Mental and behavioural disorders,Nuna is a SaaS-enabled marketplace for mental health experts. It helps people destigmatizing mental support by making it more accessible and involving it as a part of ones lifestyle.
971,Nutrition &amp; Santé Iberia,"Sant Cugat del Vallés, Barcelona",Biotechnology - other,Food; Nutraceuticals,,"Nutrition &amp; Santé Iberia provides dietetics, food supplements and organic food markets. The group is present in all the main distribution networks and in all the principle dietetic and organic food sectors."
972,NX-Swim,"Barcelona, Barcelona",Digital Health,Health &amp; Wellness (IoT),,NX≈SWIM is a swim technology company based Barcelona. The company aims to provide customers the most advanced swim technology for improving their performance and make training more interesting and challenging.
973,Oficina d'Investigació i Transferència Tecnològica de la Universitat de Girona (OITT) (TTO),"Girona, Girona",Public / Non-profit organizations / Medical facilities,Other,,"OITT is the Technology Transfer Office (TTO) of the University of Girona (UdG). OITT is a service section of the University of Girona (Girona), which provides information, advice and support to the management of research, transfer and innovation and helps make dissemination in the wider society. The OITT offers the management of contracts and agreements with the companies in order to finance a specific research, based on the needs of business development."
974,Oficina Ponti,"Barcelona, Barcelona",Professional Services and Consulting,Legal services; Patents &amp; Trademarks,,"Ponti &amp; Partners, SLP is specializing in the consultancy, processing and legal defense throughout the world of the different modalities of industrial and intellectual property rights: patents, trademarks, designs, copyrights, domains and other forms of intangible assets."
975,Olympus Iberia,"Hospitalet de Llobregat,l', Barcelona",Supplier &amp; Engineering,Medical devices,,"Olympus is a global technology company which works in the core business areas of Medical and Surgical Products, Scientific Solutions and Cameras and Audio Products. Olympus Iberia acts as a distributor of Olympus products and also as a regional technical service."
976,Omadre Vida,"Barcelona, Barcelona",Digital Health,Population Health Management,Genitourinary system,"OMadre is a healthcare end-to-end solution for neonatal units in hospitals. By performing a barcode cross-validation, OMadre ensures each baby is fed with unexpired milk from his own mother."
977,Omakase consulting,"Barcelona, Barcelona",Professional Services and Consulting,Business development; Market access,,"Omakase Consulting is an independent strategic consulting company in areas of R&amp;D, Regulatory, Pricing and Reimbursement, Business Strategy, Evidence-based medicine, HEOR, Market Access, Institutional Relations, and Public-Private Partnership. The company provides approaches and studies to drive evidence-based market access strategies for medicinal products and medical devices."
978,"Omniscope (HQ, Barcelona)","Barcelona, ",Biotechnology / R&amp;D Services,Bioinformatics; Diagnostic instrumentation,"Congenital or chromosomal abnormalities; Diseases of the blood, immune disorders","Omniscope is a deep biotech startup that strives to help all people live healthier by applying cutting-edge science. Our technology is designed to change the way we think about diagnostics by detecting diseases broadly, much earlier and with unprecedented sensitivity."
979,Ona Capital Privat,"Manlleu, Barcelona",Investors,Venture capital fund,,"Ona Capital is an investment company authorized as a venture capital company (SCR), which is owned by businessmen from the Osona region. The company invests in micro, small and medium-sized businesses with high growth prospects."
980,Ona Therapeutics,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Antibodies,Neoplasms/cancer/oncology,"ONA Therapeutics is a biotech company, spin-off of ICREA and IRB, specializes in unravelling novel biology to design biopharmaceuticals attacking advanced cancer."
981,Onalabs Healthcare,"Bellaterra, Barcelona",Digital Health,Remote Monitoring,"Cardiovascular; Endocrine,nutritional,metabolic diseases; Respiratory","Onalabs Healthcare designs non-invasive products based on wearable formats that will empower the patients and their families to measure relevant biomarkers anytime and anywhere, allowing them to detect and monitor early stages of possible clinical deterioration."
982,Oncoheroes Biosciences (Barcelona),"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Cell therapy,Neoplasms/cancer/oncology,Oncoheroes Biosciences is a life science company exclusively focused on finding cures for childhood cancer by identifying and developing projects to create new treatments and drugs.
983,OneChain Immunotherapeutics,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Cell therapy,,Neoplasms/cancer/oncology
984,Onedose Pharma,"Barcelona, Barcelona",Pharma,Anti-infectives; Generics; Other,,"Digestive system; Diseases of the nervous system; Infectious and parasitic diseases; Mental and behavioural disorders; Other symptoms,deviant clinical findings"
985,Onira Research,"Lleida, Lleida",Biotechnology / R&amp;D Services,Diagnostic instrumentation,Cardiovascular; Respiratory,"Spin-off of Lleida Biomedical Research Institute (IRB Lleida). Their research allows the development of a patented in-vitro diagnostic kit that determines if a patient with Resistant Hypertension could be treated using a CPAP (Continuous Positive Air Pressure) device, originally indicated for the treatment of obstructive sleep apnea."
986,Oniria Therapeutics,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Cell therapy,,Neoplasms/cancer/oncology
987,Online Medicus,"Sant Cugat del Vallés, Barcelona",Digital Health,Telehealth,,"Online Medicus is a company specialized in brokering and promoting access to online pediatric services. The pediatric consultations are attended by professionals through video call, online chat, telephone or email ."
988,Onmedic Networks,"Barcelona, Barcelona",Digital Health,E-Medical Record / E-health Record; Mobile Fitness / Health Apps,,Onmedic Networks is a technological company focused on e-Health. The onmedic's core business are e-clinical trials as well as any kind of technological initiative.
989,Onyriq,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,CMO (Contract Manufacturing Organization); Synthesis services,,"ONYRIQ is a research and development company that provides polymeric materials. The company designs and synthesizes polymers according to customers' needs: solvent-free, specific architectures, nanostructures, and others. The company serves various sectors: aerospace, prosthetics, and health, agro and food, additive manufacturing, etc."
990,Open Health,"Barcelona, Barcelona",Digital Health,E-Medical Record / E-health Record,"Other symptoms, deviant clinical findings","Open Health articulates technology solutions with a strong open source component software products, after having conducted a testing and adaptation to the needs of health care. Achieving lower costs of unnecessary licensing to achieve levels incorporate qualified service at a competitive price."
991,Opentrends,"Barcelona, Barcelona",Supplier &amp; Engineering,Software / dHealth,,"OpenTrends is a Software Engineering company, based in Barcelona and focused on custom development of specialized APP's and Portals, using openSource technologies. The company connects strategy, design and technology to place companies on the path of digital transformation, one of the humanity’s most exciting age."
992,Opis Spain,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,CRO (Contract Research Organization),,"OPIS is a full-service Contract Research Organization (CRO) founded in 1998 in Italy, providing premium trial management for multi-country clinical trials"
993,Opko Health Spain,"Hospitalet de Llobregat,l', Barcelona",Supplier &amp; Engineering,Distributors,,"OPKO Health Europe was established from the integration of Pharmadiet to OPKO Health. Now Pharmadiet is a part of OPKO Heath Inc. through OPKO Health Europe and OPKO Health Spain. The company is developing a comprehensive range of solutions for the diagnostics, treatment, and prevention of various diseases, including “Point of care” technologies, molecular diagnostic tests, drugs and vaccines."
994,Optretina,"Sant Cugat del Vallès, Barcelona",Digital Health,Population Health Management; Telehealth; Predictive Analytics,Diseases of the eye,"Network of opticians optometrists and ophthalmologists for the prevention of blindness. The network was created for early detection of major diseases causing blindness, through a quick, accessible and affordable test for the entire population.AI-based software that enables the early detection of retina diseases."
995,Ordisi,"Hospitalet de Llobregat,l', Barcelona",Medical Technology,Electro mechanical medical devices; Ophthalmic and optical devices; Reusable instruments,,"ORDISI, S.A., is a company engaged in the manufacture of electromedicine devices. At present, the company offers basic exploration lamps with halogen and LED light as well as lamps for small and medium surgery."
996,Origen Ventures Fund,"Barcelona, Barcelona",Investors,Venture capital fund,,"Origen Ventures Fund is a venture capital that invests exclusively in spinoffs related to nano technology, micro &amp; nano electronics, photonics, advanced materials, industrial biotechnology, advanced manufacturing systems."
997,Origo Biopharma (Barcelona),"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,"Diseases of the blood, immune disorders; Neoplasms/cancer/oncology",,Origo Biopharma is a pharmaceutical company focused on the research and development of novel therapeutic products that modulate the immune system in order to obtain new treatments against diseases with an important immuno-inflammatory component such as cancer and fibrosis.
998,Ortopedia Grau Soler,"Barcelona, Barcelona",Medical Technology,Technical aids for disabled persons,,"Grau Soler SA specializes in developing and marketing orthopedics. The company specialize in the orthotic treatment of pathologies associated with the lower limb, upper limb and trunk. These include cerebral palsy, spinal cord injury, cranial trauma, post-polio syndrome, spina bifida, hemiplegia, scoliosis, infantile dysplasia and congenital hip dislocation, among others. lude, among others."
999,"Oryzon Genomics (HQ, Cornella del Llobregat)","Cornellà de Llobregat, Barcelona",Biotechnology - Therapeutics and Diagnostics,Antibodies; Gene therapy; Peptides; Proteins; Small molecules; Molecular diagnostics,Diseases of the nervous system; Neoplasms / cancer / oncology,"Oryzon Genomics S.A. is a clinical phase biopharmaceutical company, engages in the discovery and development of epigenetics-based therapeutics for the treatment of oncological and CNS disorders. The company's products include Iadademstat (ORY-1001), vafidemstat (ORY-2001), etc. Oryzon Genomics was born as a spin-off of Universitat de Barcelona (UB)."
1000,Osborne Clarke España,"Barcelona, Barcelona",Professional Services and Consulting,Legal services,,"Osborne Clarke España provides insightful and effective legal services to meet clients' advisory, litigation and transactional needs. The company help clients gain competitive advantage in an international business environment that is reshaping to meet new digital, economic, environmental and political challenges."
1001,Other Side Mirror (OSM),"Mataró, Barcelona",Professional Services and Consulting,Business development; Management consulting,,"Other Side Mirror is a R&amp;D company which develops projects focused on the areas of Health, Physical Activity and the Smart Cities developed with Biomechanics, Virtual Reality and Robotics. They also offer consulting services and job training."
1002,Ototech,"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Private clinic,,"Ototech is a therapeutic hearing centre specialised in the treatment and care of tinnitus, deafness (hearing loss) and other hearing pathologies, by using a specified technique based on Transmastoid Cochlear Electrostimulation."
1003,Otsuka Pharmaceutical,"Barcelona, Barcelona",Supplier &amp; Engineering,Distributors,,"Otsuka Pharmaceutical S.A. offers innovative therapeutic solutions in the areas of neuroscience, nephrology, onco-hematology and endocrinology."
1004,Owkin (Barcelona),"Barcelona, ",Professional Services and Consulting,IT services,,"Owkin is a French-American startup that uses artificial intelligence to find the right treatment for every patient. Headquarted in Paris, Spanish Barcelona office is dedicated to build collaborations with academic centers and hospitals. Our focus is to use AI to discover and develop better treatments for unmet medical needs, starting with the fight against cancer. We use AI to identify new drug candidates, de-risk and accelerate clinical trials and build diagnostic solutions that improve patient outcomes. Using federated learning, a pioneering collaborative AI framework, Owkin enables medical and biopharma partners to unlock valuable insights from siloed datasets, while protecting patient privacy and securing proprietary data. Owkin was co-founded by Thomas Clozel MD, a clinical research doctor and former assistant professor in clinical onco-hematology, and Gilles Wainrib, a pioneer in the field of machine learning in biology, in 2016. Owkin has raised over $255 million and became a ‘unicorn’ – a startup valued at more than $1 billion – in November 2021 through a $180 million investment from French biopharma company Sanofi."
1005,Oxigen Salud,"Barcelona, Barcelona",Supplier &amp; Engineering,Other; Distributors; Medical devices,,Oxigen Salud offers home respiratory therapy assistance. Oxigen Salud also supplies electromedicine and medical gas equipment to hospitals and healthcare centers.
1006,Oxolife,"Sant Quirze del Vallès, Barcelona",Biotechnology - Therapeutics and Diagnostics,Small molecules; Other,"Pregnancy, childbirth and the puerperium",Focused on fertility field. Working in a small molecule (OXO-001) to enhance pregnancy success in women undergoing IVF.
1007,PackFeeder,"Terrassa, Barcelona",Supplier &amp; Engineering,Packaging &amp; labeling,,Packfeeder specializes in the design and manufacture of systems for positioning and orientation of plastic containers.
1008,Pal Robotics,"Barcelona, Barcelona",Supplier &amp; Engineering,Other; Electronics,,"PAL Robotics develops service robots that enhance people’s quality of life. The company has built several robots for services and research, contributed to open-source projects and participated in several robotic competitions."
1009,"Palex Medical (HQ, Barcelona)","Sant Cugat del Vallés, Barcelona",Biotechnology / R&amp;D Services,Diagnostic instrumentation,,"Palex distributes medical devices in the Spanish and Portuguese markets. Palex provides the widest range of products and services, covering from exploration gloves to robotic surgery. The company's Carbomedics® STANDARD, Carbomedics® REDUCED, TOP-HAT® Valve, etc."
1010,Palobiofarma (Mataró),"Mataró, Barcelona",Biotechnology - Therapeutics and Diagnostics,Other,"Diseases of the blood, immune disorders; Diseases of the eye; Respiratory; Skin and subcutaneous tissue; Neoplasms/cancer/oncology","Palobiofarma S.L is a Spanish biotechnology company that discovers new drugs based on the modulation of adenosine receptors.The company's products include PBF-677, PBF-999, PBF-680, PBF-509, etc.Palobiofarma focused on Virtual drug design, Medicinal Chemistry, In Vitro Pharmacology of adenosine, Physico-chemical characterization of the compounds and Intellectual Property. Spin-off of Institut Químic de Sarrià (IQS)."
1011,Pangaea Oncology,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Analytical services; Cell culture; Diagnostic services; Genomics; Screening,,Neoplasms / cancer / oncology
1012,Panreac Química,"CAN CARNER, Barcelona",Supplier &amp; Engineering,Laboratory consumables and reagents; APIs and excipients,,"PanReac Química SLU are manufacturers of laboratory reagents and chemicals for industrial use. PanReac's products cover chemical, biological, pharmaceutical and medical research and production applications."
1013,Paperdrop Diagnostics,"Mataró, Barcelona",Biotechnology / R&amp;D Services,Diagnostic instrumentation; Diagnostic services,,Cardiovascular
1014,Parc Científic de Barcelona (PCB),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Science / Technology park,,"Parc Científic de Barcelona provides an ideal environment institutions. The company engaged in the generation, transfer and capture value in the field of life sciences."
1015,Parc Científic i Tecnològic Agroalimentari de Lleida (PCiTAL),"Lleida, Lleida",Public / Non-profit organizations / Medical facilities,Science / Technology park,,"Lleida Agri-food Science and Technology Park (PCiTAL) was established by the Ajuntament of Lleida (City Council) and the University of Lleida. The Park is a dynamic place for research and transference of knowledge on agri-food activities and on the other main fields related to agri-food as health, TIC, engineering and energy. The Park includes four special connected areas: the Gardeny Campus where the main activities and general services are located, the Agri-Food Campus placed on the Agriculture Engineering High Technical School, the Botanical Garden for research and reservation activities on plants and the Health Campus located on the Medicine Faculty and main Hospitals area."
1016,Parc Científic i Tecnològic de la Universitat de Girona,"Girona, Girona",Public / Non-profit organizations / Medical facilities,Science / Technology park,,Parc Científic i Tecnològic de la Universitat de Girona (Scientific and Technological Park of the University of Girona) provides services to facilitate the research and innovation of companies. The park is established as the fundamental agent to promote economic development in the Girona.
1017,Parc Científic i Tecnològic de Tarragona,"Tarragona, Tarragona",Public / Non-profit organizations / Medical facilities,Science / Technology park,,"The Tarragona Science and Technology Park brings together the innovation activities of the chemical and energy sectors. It puts all the existing knowledge in these fields to work in the Tarragona region to transform that knowledge into development projects for companies. The science park is the centre for R&amp;D&amp;I projects in sustainable chemistry and comprises a full range of teaching, research and knowledge transfer structures."
1018,Parc de Recerca Biomèdica de Barcelona (PRBB),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Science / Technology park,,"The Barcelona Biomedical Research Park (PRBB) is one of the largest biomedical research clusters in Southern Europe. The PRBB, an initiative of the Government of Catalonia, the City Council of Barcelona and the Pompeu Fabra University (UPF), is a large scientific infrastructure that is physically connected to the ‘Hospital del Mar de Barcelona’ and that gathers together six public research centres closely coordinated amongst them. Around 1400 people from 50 different countries work at PRBB. It is a multidisciplinar park where experts from the molecular perspective up to the population one meet together."
1019,Parc de Recerca i Innovació de la UPC (Parc UPC),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Science / Technology park,,"The UPC Park, Research and Innovation Park of the Polytechnic University of Catalonia, is an innovation environment with a high concentration of knowledge and technology, aimed at returning value to society. Parc UPC provides facilities, technological infrastructures and value-added services, all aimed at fostering synergies between research stakeholders and companies and ultimately designed to ensure successful projects and enterprises."
1020,Parc de Recerca UAB (PRUAB),"BELLATERRA, Barcelona",Public / Non-profit organizations / Medical facilities,Science / Technology park,,"The UAB Research Park (PRUAB) is an organization founded by the Universitat Autònoma de Barcelona (UAB), the Spanish Council for Research (CSIC) and the Institute for Agrofood Research (IRTA), whose aim is to stimulate and improve technology and knowledge transfer activities of its members, to promote entrepreneurship activity through new technology-based companies and, in general, to provide interaction between research and industry. The Research Park provides services to UAB’s research departments, as well as centres and institutes located on the Bellaterra campus."
1021,Parc Tecnològic del Vallès,"CERDANYOLA DEL VALLES, Barcelona",Public / Non-profit organizations / Medical facilities,Science / Technology park,,"The Parc Tecnològic del Vallès is a company that manages the technological area around Cerdanyola del Vallès. The PTV offers services for companies that install and promote innovation and technological research.  Currently, it offers spaces for new companies or work centers, from coworking rooms to industrial spaces, as well as rental of facilities and rooms for conventions, events , meetings and training."
1022,Patconsult,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Analytical services,,Patconsult. LAB. is an independent company focused on toxicologic histopathology services as well as scientific and technical assessment in the field of preclinical studies for the research and development of medicines for human and veterinary use. The company works jointly with a worldwide network of partners.
1023,PDG Invest,"Barcelona, Barcelona",Investors,Business angel,,Investment vehicle for start ups formed by a group of IESE students taking the general management program.
1024,Pebble Analytics,"Barcelona, Barcelona",Digital Health,Medical Big Data &amp; analytics; Predictive Analytics,Infectious and parasitic diseases,Pebble is a citizen science-based startup that predicts social risks and their impact.
1025,Peninsula,"Barcelona, Barcelona",Professional Services and Consulting,Business development,,"Peninsula is a consultancy firm focused on helping corporates and institutions to boost their innovation cycles by speeding up execution and deploying new disruptive business models, by driving open innovation strategies through startups or new ventures. The firm is engaged in content industry, frontier tech and manufacturing."
1026,Pensa Pharma,"Barcelona, Barcelona",Pharma,Generics,,"Pensa Dose is focused on developing, producing and licensing-out dossiers of generic drugs,  OTC, food supplements, life cycle management and others. Pensa Dose also provides customized contract manufacturing services."
1027,Peptomyc,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Peptides,,Neoplasms/cancer/oncology
1028,Perdigó Solutions,"Barcelona, Barcelona",Supplier &amp; Engineering,Medical devices; Software / dHealth,,"Perdigó is an engineering consultancy company that develops medical devices, biotech instruments, digital health solutions, core engineering, etc."
1029,Peroxfarma,"Barcelona, Barcelona",Supplier &amp; Engineering,Distributors,,"Peroxfarma S.A. manufactures pharmaceutical products, food supplements, cosmetic products, and electronic devices. The company offers dermocosmetic products (Mussvital), sanitary products (Omron, Foret and Clabi) and nutritional supplements (Epaplus)."
1030,Perspectiva,"Alella, Barcelona",Supplier &amp; Engineering,Other; Medical devices,,"Perspectiva helps companies to identify opportunities for innovation in their business, product or service and facilitates the incorporation of these opportunities using their own ""Full service""​ end to end methodology."
1031,Pfizer - España,"Hospitalet de Llobregat,l', Barcelona",Supplier &amp; Engineering,Distributors,,"Pfizer Inc. is a global biopharmaceutical company, which is engaged in discovering, developing and manufacturing of healthcare products. Pfizer (Spain) operates as the subsidary of  Pfizer Inc."
1032,Pharmacelera,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Bioinformatics,,"Pharmacelera develops proprietary computer-aided drug design software and provides access to its technology through flexible licensing options and computational chemistry services. The company helps other companies in target Identification, hit-identification, hit-to-lead and lead optimization drug discovery stages by finding novel hits, improving ligand binding properties (ADME) obtaining insights of ligand / receptor interactions and identifying original backup compounds."
1033,Pharmagenus,"Barcelona, Barcelona",Pharma,Generics,,"Diseases of the blood, immune disorders; Genitourinary system; Infectious and parasitic diseases; Mental and behavioural disorders; Musculoskeletal system,connective tissue; Neoplasms / cancer / oncology; Other symptoms,deviant clinical findings"
1034,Pharmalink,"CERDANYOLA DEL VALLES, Barcelona",Biotechnology - other,Other; Food; Nutraceuticals,,"Pharmalink offers a full range of medical devices, food supplements, cosmetics and nutritional supplements. The products include Free audio – Ear hygiene, Freenose Kit – Baby nose cleaning kit II, Royal jelly, propolink, Freenose hyaluronic, etc."
1035,PharmaMar,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Peptides,Neoplasms / cancer / oncology,"PharmaMar is a biopharmaceutical company, focused on oncology and committed to research and development which takes its inspiration from the sea to discover molecules with antitumor activity. It is a company that seeks innovative products to provide healthcare professionals with new tools to treat cancer."
1036,Pharmaphenix,"Barcelona, Barcelona",Professional Services and Consulting,Other; Business development; Management consulting; Market access; Market research; Operations/Health &amp; safety/Purchasing; Sales &amp; Marketing; Drug Development Consulting,,Pharmaphenix is a pharmaceutical consulting company specialized in the business development chain. The company's mission is to become the reference partner to enter emerging markets (building a solid international network of companies and develop strong local commercial structures where requested) and add value to the business of  customers.
1037,Phi Med Europe,"Manresa, Barcelona",Medical Technology,Diagnostic Devices,Diseases of the nervous system,"Phi Med Europe is a medical technology company born in Barcelona as a result of the patented invention NerveCheck®, an assistive technology for detecting sensory nerve fibres alterations. We develop, produce, distribute and commercialize medical technology."
1038,Phibo Dental Solutions,"Sentmenat, Barcelona",Medical Technology,Biomaterials; Dental devices,,"Spanish dental company in implant dentistry, CAD/CAM prosthetics, digital solutions, aesthetics and innovation."
